悠美(yomode),,2013,中国,广州悠美生物科技有限责任公司,http://hzp.rayli.com.cn/yomode/index.html,面膜(4),美白(1);深层补水(3);保湿(2);抗皱紧肤(1);调理油脂平衡(1),
羽西(YUE-SAI),靳羽西,1992,中国,欧莱雅,http://hzp.rayli.com.cn/yuesai/index.html,卸妆油/液/(1);彩妆工具(6);睫毛膏/液(4);眼线笔/液(3);眼影(9);粉饼(8);精华素/液(14);防晒(5);粉底液/霜(5);面膜(6);洁面乳/皂(10);护手产品(1);指甲油(4);遮瑕膏/笔/(2);爽肤/化妆水(9);乳液/凝露/(15);面霜(5);眼霜(5);唇膏/唇彩/(14);隔离霜(5);其它底妆(1);散粉/蜜粉(1);腮红(2);眉笔/眉粉(3);眼部护理(2);其它护肤品(2);美容食品(1);身体乳/霜/(1);气垫BB(1),卸妆(2);清洁(11);眉部彩妆(4);眼部彩妆(17);底妆(18);提亮肤色(23);淡斑(3);美白(21);晒后修护(1);补水(10);保湿(29);活肤滋润(16);防晒(10);去角质(4);淡化细纹(17);指甲彩妆(4);去黑眼圈(6);消炎镇定(1);均匀肤色(10);抗皱紧肤(8);抗老化(11);控油平衡(2);深层补水(1);唇部彩妆(14);护唇(2);紧致(2);修护肌肤(3);除眼袋(4);面部彩妆(3);促进新陈代谢(4);唇部护理(1);护理(1);造型(2);身体滋润(1);提拉紧致(1);防紫外线(1);细致毛孔(1);调理油脂平衡(1),白玲珑(17);水呼吸系列(7);赋颜萃(7);凝无痕(11);生机之水(5);活能-生机之(5);未归入系列者(52)
伊夫·黎雪(Yves Rocher),Yves Rocher,1959,法国,伊夫· 黎雪,http://hzp.rayli.com.cn/yvesrocher/index.html,沐浴露(27);洗发产品(1);身体乳/霜/(36);面部/剃须护(3);纤体产品(4);女性香水(30);乳液/凝露/(12);面膜(10);护足产品(13);洁面乳/皂(9);爽肤/化妆水(10);面霜(31);其它身体护理(4);护手产品(7);精油(6);卸妆油/液/(5);眼霜(6);遮瑕膏/笔/(2);隔离霜(1);其它香水(4);去角质霜(4);精华素/液(8);其它护肤品(2);防晒(2);男性香水(4);丰胸产品(2);散粉/蜜粉(1);眼影(1);眼线笔/液(1);香体粉(12);身体护理工具(1);腮红(1);护理唇膏(1);身体护理(3);眼部护理(1);护发产品(1),身体清洁(32);清洁(12);身体滋润(41);控油平衡(13);提拉紧致(8);瘦腰腹(7);女士香水(30);提亮肤色(5);去角质(15);净化排毒(4);细致毛孔(2);补水(10);保湿(25);活肤滋润(31);修护肌肤(9);香体(20);身体按摩(4);消炎镇定(5);美白(17);卸妆(6);抗敏(4);除眼袋(1);淡化细纹(16);抗皱紧肤(14);底妆(4);中性香水(3);抗老化(8);祛斑(2);防晒(3);男士香水(4);深层补水(6);丰胸(2);去黑眼圈(3);吸油(1);眼部彩妆(2);面部彩妆(1);指甲彩妆(1);紧致(6);瘦腿(3);瘦手臂(2);促进新陈代谢(2);护理(3);均匀肤色(2),植物舒颜精华(5);青春光彩(7);有机植物凝萃(0);植物DNA动(0);青春光采系列(0);金纯营养系列(0);植物舒颜精华(0);植物DNA新(0);水润亮白系列(0);植物特性营养(0);平衡纯净系列(0);温和防敏系列(0);保湿水嫩系列(0);男士人参系列(0);面膜护理系列(0);植物芳香精油(0)
秀禾(XiuHe),,2011,中国,XiuHe,http://hzp.rayli.com.cn/xiuhe/index.html,面霜(3);眼霜(2),祛痘去印(1);净化排毒(1);抗皱紧肤(2);除眼袋(2);保湿(3);去黑眼圈(1),
协和精心(xiehejx),李洪迥,1992,中国,北京协和精细化学制品有限公司,http://hzp.rayli.com.cn/xiehejingxin/index.html,面霜(3);乳液/凝露/(4);精华素/液(1);爽肤/化妆水(2);眼霜(1);洁面乳/皂(3);其它护肤品(1);隔离霜(2);洗发产品(2);沐浴露(1);面膜(8),活肤滋润(8);保湿(17);控油平衡(7);去黑眼圈(1);清洁(5);美白(9);卸妆(2);除痘(4);底妆(2);淡斑(1);补水(1);均匀肤色(5);身体清洁(1);防紫外线(1);抗皱紧肤(3);深层补水(4),
蔚丽莱(WEI to GO),,2011,美国,,http://hzp.rayli.com.cn/weitogo/index.html,修容粉/膏/(1);精油(1),美白(1);底妆(1),
Whos 草本之源(WHO's Aromist),,1995,中国香港,Who's,http://hzp.rayli.com.cn/whosaromist/index.html,身体乳/霜/(3);眼霜(1);防晒(1);面膜(1);沐浴露(2);纤体产品(2),瘦腰腹(3);瘦腿(3);瘦手臂(3);祛橘皮(1);补水(1);保湿(1);防晒(1);美白(2);身体清洁(1);抗皱紧肤(2),
艾丽素(Waliy),,1992,中国,,http://hzp.rayli.com.cn/waliy/index.html,,,
美时之雯(Whenever),,0,,,http://hzp.rayli.com.cn/whenever/index.html,面膜(5),保湿(5);舒缓压力(4);提亮肤色(3),
维蕾德(WELEDA),,2009,德国,,http://hzp.rayli.com.cn/weleda/index.html,其它身体护理(5);洁面乳/皂(1);沐浴露(3);爽肤/化妆水(1);纤体产品(1);身体乳/霜/(1);面霜(1);眼霜(1);面膜(1),消炎镇定(4);卸妆(1);抗敏(2);身体清洁(1);保湿(2);修护肌肤(2);瘦腰腹(1);提拉紧致(1);清洁(1);净化排毒(1);身体滋润(1);活肤滋润(1);淡化细纹(1);补水(1);美白(1),
